release_year,stars,appearance_count
1932,Stars:,2
1933,Stars:,1
1934,Stars:,1
1935,Stars:,1
1938,Stars:,1
1941,Stars:,1
1944,Stars:,1
1945,Stars:,3
1946,Stars:,3
1947,Stars:,1
1948,Stars:,2
1950,Stars:,4
1952,Stars:,3
1953,Stars:,3
1954,Stars:,3
1955,Stars:,3
1956,Stars:,7
1957,Stars:,1
1958,Stars:,2
1959,Stars:,1
1960,Stars:,4
1961,Stars:,3
1962,Stars:,4
1963,Stars:,1
1964,Stars:,2
1965,Star:,1
1965,Stars:,4
1966,Star:,1
1966,Stars:,6
1967,Stars:,3
1968,Stars:,6
1969,Stars:,7
1970,Stars:,3
1971,Stars:,4
1972,Stars:,1
1973,Stars:,8
1974,Stars:,3
1975,Stars:,6
1976,Star:,1
1976,Stars:,3
1977,Stars:,5
1978,Stars:,6
1979,Stars:,4
1980,Stars:,3
1982,Stars:,3
1983,Stars:,2
1984,Stars:,2
1985,Stars:,3
1986,Stars:,1
1987,Stars:,5
1988,Stars:,2
1989,Star:,1
1989,Stars:,4
1990,Stars:,5
1991,Star:,1
1991,Stars:,4
1992,Star:,1
1992,Stars:,2
1993,Star:,1
1993,Stars:,7
1994,Stars:,5
1995,Stars:,8
1996,Stars:,5
1997,Stars:,13
1998,Stars:,7
1999,Stars:,5
2000,Stars:,9
2001,Star:,2
2001,Stars:,16
2002,Brian Klein,78
2002,James May,78
2002,Jeremy Clarkson,88
2002,Richard Hammond,88
2002,Stars:,102
2003,Star:,2
2003,Stars:,11
2004,Kino Abe,65
2004,Stars:,86
2005,Mae Whitman,51
2005,Stars:,133
2006,Star:,3
2006,Stars:,57
2007,Mae Whitman,1
2007,Star:,1
2007,Stars:,48
2008,Star:,4
2008,Stars:,41
2009,Star:,1
2009,Stars:,42
2010,Star:,5
2010,Stars:,77
2011,Star:,4
2011,Stars:,86
2012,Star:,7
2012,Stars:,113
2013,Star:,12
2013,Stars:,175
2014,Star:,13
2014,Stars:,249
2015,Mae Whitman,1
2015,Star:,15
2015,Stars:,313
2016,Star:,27
2016,Stars:,372
2017,Brian Klein,1
2017,Star:,41
2017,Stars:,462
2018,Kino Abe,1
2018,Mae Whitman,11
2018,Star:,54
2018,Stars:,538
2019,Brian Klein,1
2019,Star:,67
2019,Stars:,743
2020,Emmanuel Esparza,61
2020,Manuel Navarro,61
2020,Star:,32
2020,Stars:,692
2021,Brian Klein,1
2021,Star:,30
2021,Stars:,451
2022,Star:,46
2022,Stars:,327
2023,Star:,2
2023,Stars:,17
2024,Star:,4
